Source,Sum_Sq,df,Mean_Sq,F,P_value,Percent_Variance
Scenario,536634.394411932,4,134158.598602983,51675.1933994669,0,0.893188394243619
Algorithm,19316.9883853624,2,9658.49419268122,3720.25766929361,0,0.0321517033146038
NFFT,4980.6180803657,3,1660.20602678857,639.47796422012,2.51607136014591e-228,0.00828987167402415
Components,530.005015824339,3,176.668338608113,68.0490901082934,6.66620133911503e-40,0.000882154282235249
Scenario*Algorithm,23487.9525790951,8,2935.99407238689,1130.8858551755,0,0.0390939657738154
Scenario*NFFT,4016.56859717122,12,334.714049764269,128.925118741534,1.52322581848175e-190,0.00668528236921547
Scenario*Components,3468.7546190701,12,289.062884922508,111.341208379664,2.41624501892886e-172,0.00577348638196692
Algorithm*NFFT,1659.81036309781,6,276.635060516302,106.554260420959,7.42906351616294e-103,0.00276263200495911
Algorithm*Components,452.784968209802,6,75.4641613683004,29.0672768949809,4.46078640685634e-32,0.00075362720486104
NFFT*Components,23.0088749680435,9,2.55654166311595,0.984728420324852,0.45085864464897,3.82965764029717e-05
Scenario*Algorithm*NFFT,1970.41210966231,24,82.100504569263,31.6234627969359,4.18017812446396e-104,0.00327960571769928
Scenario*Algorithm*Components,955.332735348027,24,39.8055306395011,15.33228966003,1.60789625497053e-52,0.00159008092052867
Scenario*NFFT*Components,229.305735364091,36,6.36960376011363,2.45344323516603,5.69476728383698e-06,0.00038166249441605
Algorithm*NFFT*Components,277.676219521905,18,15.4264566401058,5.94196077364389,8.5871622536818e-14,0.000462171599914309
Scenario*Algorithm*NFFT*Components,311.666489985189,72,4.3287012497943,1.66732864371662,0.000613113397320324,0.000518745899681801
Error,2492.34199596033,960,2.59618957912535,,,0.00414831954205477
Total,600807.62118094,1199,,,,
